statement_id,date,year,chairperson,text,length,text_token,text_token_score_lm,score_lm_diff
1,2007-01-31,2007,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 5-1/4 percent. recent indicators have suggested somewhat firmer economic growth, and some tentative signs of stabilization have appeared in the housing market. overall, the economy seems likely to expand at a moderate pace over coming quarters. readings on core inflation have improved modestly in recent months, and inflation pressures seem likely to moderate over time. however, the high level of resource utilization has the potential to sustain inflation pressures. the committee judges that some inflation risks remain. the extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; susan s. bies; thomas m. hoenig; donald l. kohn; randall s. kroszner; cathy e. minehan; frederic s. mishkin; michael h. moskow; william poole; and kevin m. warsh.",173,federal open market committee decided today keep target federal funds rate 5 1 4 percent recent indicators suggested somewhat firmer economic growth tentative signs stabilization appeared housing market overall economy seems likely expand moderate pace coming quarters readings core inflation improved modestly recent months inflation pressures seem likely moderate time however high level resource utilization potential sustain inflation pressures committee judges inflation risks remain extent timing additional firming may needed address risks depend evolution outlook inflation economic growth implied incoming information voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman susan bies thomas hoenig donald l kohn randall kroszner cathy e minehan frederic mishkin michael h moskow william poole kevin warsh,1.0,
2,2007-03-21,2007,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 5-1/4 percent. recent indicators have been mixed and the adjustment in the housing sector is ongoing. nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters. recent readings on core inflation have been somewhat elevated. although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. in these circumstances, the committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; thomas m. hoenig; donald l. kohn; randall s. kroszner; cathy e. minehan; frederic s. mishkin; michael h. moskow; william poole; and kevin m. warsh.",162,federal open market committee decided today keep target federal funds rate 5 1 4 percent recent indicators mixed adjustment housing sector ongoing nevertheless economy seems likely continue expand moderate pace coming quarters recent readings core inflation somewhat elevated although inflation pressures seem likely moderate time high level resource utilization potential sustain pressures circumstances committee predominant policy concern remains risk inflation fail moderate expected future policy adjustments depend evolution outlook inflation economic growth implied incoming information voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman thomas hoenig donald l kohn randall kroszner cathy e minehan frederic mishkin michael h moskow william poole kevin warsh,0.0,-1.0
3,2007-05-09,2007,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 5-1/4 percent. economic growth slowed in the first part of this year and the adjustment in the housing sector is ongoing. nevertheless, the economy seems likely to expand at a moderate pace over coming quarters. core inflation remains somewhat elevated. although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. in these circumstances, the committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; thomas m. hoenig; donald l. kohn; randall s. kroszner; cathy e. minehan; frederic s. mishkin; michael h. moskow; william poole; and kevin m. warsh.",161,federal open market committee decided today keep target federal funds rate 5 1 4 percent economic growth slowed first part year adjustment housing sector ongoing nevertheless economy seems likely expand moderate pace coming quarters core inflation remains somewhat elevated although inflation pressures seem likely moderate time high level resource utilization potential sustain pressures circumstances committee predominant policy concern remains risk inflation fail moderate expected future policy adjustments depend evolution outlook inflation economic growth implied incoming information voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman thomas hoenig donald l kohn randall kroszner cathy e minehan frederic mishkin michael h moskow william poole kevin warsh,-0.2,-0.2
4,2007-06-28,2007,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 5-1/4 percent. economic growth appears to have been moderate during the first half of this year, despite the ongoing adjustment in the housing sector. the economy seems likely to continue to expand at a moderate pace over coming quarters. readings on core inflation have improved modestly in recent months. however, a sustained moderation in inflation pressures has yet to be convincingly demonstrated. moreover, the high level of resource utilization has the potential to sustain those pressures. in these circumstances, the committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; thomas m. hoenig; donald l. kohn; randall s. kroszner; cathy e. minehan; frederic s. mishkin; michael h. moskow; william poole; and kevin m. warsh.",175,federal open market committee decided today keep target federal funds rate 5 1 4 percent economic growth appears moderate first half year despite ongoing adjustment housing sector economy seems likely continue expand moderate pace coming quarters readings core inflation improved modestly recent months however sustained moderation inflation pressures yet convincingly demonstrated moreover high level resource utilization potential sustain pressures circumstances committee predominant policy concern remains risk inflation fail moderate expected future policy adjustments depend evolution outlook inflation economic growth implied incoming information voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman thomas hoenig donald l kohn randall kroszner cathy e minehan frederic mishkin michael h moskow william poole kevin warsh,0.333,0.533
5,2007-08-07,2007,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 5-1/4 percent. economic growth was moderate during the first half of the year. financial markets have been volatile in recent weeks, credit conditions have become tighter for some households and businesses, and the housing correction is ongoing. nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters, supported by solid growth in employment and incomes and a robust global economy. readings on core inflation have improved modestly in recent months. however, a sustained moderation in inflation pressures has yet to be convincingly demonstrated. moreover, the high level of resource utilization has the potential to sustain those pressures. although the downside risks to growth have increased somewhat, the committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. future policy adjustments will depend on the outlook for both inflation and economic growth, as implied by incoming information. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; thomas m. hoenig; donald l. kohn; randall s. kroszner; frederic s. mishkin; michael h. moskow; william poole; eric rosengren; and kevin m. warsh.",204,federal open market committee decided today keep target federal funds rate 5 1 4 percent economic growth moderate first half year financial markets volatile recent weeks credit conditions become tighter households businesses housing correction ongoing nevertheless economy seems likely continue expand moderate pace coming quarters supported solid growth employment incomes robust global economy readings core inflation improved modestly recent months however sustained moderation inflation pressures yet convincingly demonstrated moreover high level resource utilization potential sustain pressures although downside risks growth increased somewhat committee predominant policy concern remains risk inflation fail moderate expected future policy adjustments depend outlook inflation economic growth implied incoming information voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman thomas hoenig donald l kohn randall kroszner frederic mishkin michael h moskow william poole eric rosengren kevin warsh,-0.143,-0.476
6,2007-09-18,2007,Bernanke,"the federal open market committee decided today to lower its target for the federal funds rate 50 basis points to 4-3/4 percent. economic growth was moderate during the first half of the year, but the tightening of credit conditions has the potential to intensify the housing correction and to restrain economic growth more generally.  today’s action is intended to help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and to promote moderate growth over time. readings on core inflation have improved modestly this year.  however, the committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. developments in financial markets since the committee’s last regular meeting have increased the uncertainty surrounding the economic outlook.  the committee will continue to assess the effects of these and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; charles l. evans; thomas m. hoenig; donald l. kohn; randall s. kroszner; frederic s. mishkin; william poole; eric rosengren; and kevin m. warsh. in a related action, the board of governors unanimously approved a 50-basis-point decrease in the discount rate to 5-1/4 percent.  in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of boston, new york, cleveland, st. louis, minneapolis, kansas city, and san francisco.",254,federal open market committee decided today lower target federal funds rate 50 basis points 4 3 4 percent economic growth moderate first half year tightening credit conditions potential intensify housing correction restrain economic growth generally today action intended help forestall adverse effects broader economy might otherwise arise disruptions financial markets promote moderate growth time readings core inflation improved modestly year however committee judges inflation risks remain continue monitor inflation developments carefully developments financial markets since committee last regular meeting increased uncertainty surrounding economic outlook committee continue assess effects developments economic prospects act needed foster price stability sustainable economic growth voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman charles l evans thomas hoenig donald l kohn randall kroszner frederic mishkin william poole eric rosengren kevin warsh related action board governors unanimously approved 50 basis point decrease discount rate 5 1 4 percent taking action board approved requests submitted boards directors federal reserve banks boston new york cleveland st louis minneapolis kansas city san francisco,-0.111,0.03199999999999999
7,2007-10-31,2007,Bernanke,"the federal open market committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/2 percent. economic growth was solid in the third quarter, and strains in financial markets have eased somewhat on balance.  however, the pace of economic expansion will likely slow in the near term, partly reflecting the intensification of the housing correction.  today’s action, combined with the policy action taken in september, should help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and promote moderate growth over time. readings on core inflation have improved modestly this year, but recent increases in energy and commodity prices, among other factors, may put renewed upward pressure on inflation.  in this context, the committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. the committee judges that, after this action, the upside risks to inflation roughly balance the downside risks to growth.  the committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. voting for the fomc monetary policy action were:  ben s. bernanke, chairman; timothy f. geithner, vice chairman; charles l. evans; donald l. kohn; randall s. kroszner; frederic s. mishkin; william poole; eric s. rosengren; and kevin m. warsh.  voting against was thomas m. hoenig, who preferred no change in the federal funds rate at this meeting. in a related action, the board of governors unanimously approved a 25-basis-point decrease in the discount rate to 5 percent.  in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of new york, richmond, atlanta, chicago, st. louis, and san francisco.",301,federal open market committee decided today lower target federal funds rate 25 basis points 4 1 2 percent economic growth solid third quarter strains financial markets eased somewhat balance however pace economic expansion likely slow near term partly reflecting intensification housing correction today action combined policy action taken september help forestall adverse effects broader economy might otherwise arise disruptions financial markets promote moderate growth time readings core inflation improved modestly year recent increases energy commodity prices among factors may put renewed upward pressure inflation context committee judges inflation risks remain continue monitor inflation developments carefully committee judges action upside risks inflation roughly balance downside risks growth committee continue assess effects financial developments economic prospects act needed foster price stability sustainable economic growth voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman charles l evans donald l kohn randall kroszner frederic mishkin william poole eric rosengren kevin warsh voting thomas hoenig preferred change federal funds rate meeting related action board governors unanimously approved 25 basis point decrease discount rate 5 percent taking action board approved requests submitted boards directors federal reserve banks new york richmond atlanta chicago st louis san francisco,-0.2,-0.08900000000000001
8,2007-12-11,2007,Bernanke,"the federal open market committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/4 percent. incoming information suggests that economic growth is slowing, reflecting the intensification of the housing correction and some softening in business and consumer spending. moreover, strains in financial markets have increased in recent weeks.  today’s action, combined with the policy actions taken earlier, should help promote moderate growth over time. readings on core inflation have improved modestly this year, but elevated energy and commodity prices, among other factors, may put upward pressure on inflation.  in this context, the committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. recent developments, including the deterioration in financial market conditions, have increased the uncertainty surrounding the outlook for economic growth and inflation.  the committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. voting for the fomc monetary policy action were:  ben s. bernanke, chairman; timothy f. geithner, vice chairman; charles l. evans; thomas m. hoenig; donald l. kohn; randall s. kroszner; frederic s. mishkin; william poole; and kevin m. warsh.  voting against was eric s. rosengren, who preferred to lower the target for the federal funds rate by 50 basis points at this meeting. in a related action, the board of governors unanimously approved a 25-basis-point decrease in the discount rate to 4-3/4 percent.  in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of new york, philadelphia, cleveland, richmond, atlanta, chicago, and st. louis.",278,federal open market committee decided today lower target federal funds rate 25 basis points 4 1 4 percent incoming information suggests economic growth slowing reflecting intensification housing correction softening business consumer spending moreover strains financial markets increased recent weeks today action combined policy actions taken earlier help promote moderate growth time readings core inflation improved modestly year elevated energy commodity prices among factors may put upward pressure inflation context committee judges inflation risks remain continue monitor inflation developments carefully recent developments including deterioration financial market conditions increased uncertainty surrounding outlook economic growth inflation committee continue assess effects financial developments economic prospects act needed foster price stability sustainable economic growth voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman charles l evans thomas hoenig donald l kohn randall kroszner frederic mishkin william poole kevin warsh voting eric rosengren preferred lower target federal funds rate 50 basis points meeting related action board governors unanimously approved 25 basis point decrease discount rate 4 3 4 percent taking action board approved requests submitted boards directors federal reserve banks new york philadelphia cleveland richmond atlanta chicago st louis,0.143,0.34299999999999997
9,2008-01-22,2008,Bernanke,"the federal open market committee has decided to lower its target for the federal funds rate 75 basis points to 3-1/2 percent. the committee took this action in view of a weakening of the economic outlook and increasing downside risks to growth.  while strains in short-term funding markets have eased somewhat, broader financial market conditions have continued to deteriorate and credit has tightened further for some businesses and households.  moreover, incoming information indicates a deepening of the housing contraction as well as some softening in labor markets. the committee expects inflation to moderate in coming quarters, but it will be necessary to continue to monitor inflation developments carefully. appreciable downside risks to growth remain.  the committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; charles l. evans; thomas m. hoenig; donald l. kohn; randall s. kroszner; eric s. rosengren; and kevin m. warsh.  voting against was william poole, who did not believe that current conditions justified policy action before the regularly scheduled meeting next week. absent and not voting was frederic s. mishkin. in a related action, the board of governors approved a 75-basis-point decrease in the discount rate to 4 percent.  in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of chicago and minneapolis.",252,federal open market committee decided lower target federal funds rate 75 basis points 3 1 2 percent committee took action view weakening economic outlook increasing downside risks growth strains short term funding markets eased somewhat broader financial market conditions continued deteriorate credit tightened businesses households moreover incoming information indicates deepening housing contraction well softening labor markets committee expects inflation moderate coming quarters necessary continue monitor inflation developments carefully appreciable downside risks growth remain committee continue assess effects financial developments economic prospects act timely manner needed address risks voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman charles l evans thomas hoenig donald l kohn randall kroszner eric rosengren kevin warsh voting william poole believe current conditions justified policy action regularly scheduled meeting next week absent voting frederic mishkin related action board governors approved 75 basis point decrease discount rate 4 percent taking action board approved requests submitted boards directors federal reserve banks chicago minneapolis,-0.5,-0.643
10,2008-01-30,2008,Bernanke,"the federal open market committee decided today to lower its target for the federal funds rate 50 basis points to 3 percent. financial markets remain under considerable stress, and credit has tightened further for some businesses and households.  moreover, recent information indicates a deepening of the housing contraction as well as some softening in labor markets. the committee expects inflation to moderate in coming quarters, but it will be necessary to continue to monitor inflation developments carefully. today’s policy action, combined with those taken earlier, should help to promote moderate growth over time and to mitigate the risks to economic activity.  however, downside risks to growth remain.  the committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; donald l. kohn; randall s. kroszner; frederic s. mishkin; sandra pianalto; charles i. plosser; gary h. stern; and kevin m. warsh.  voting against was richard w. fisher, who preferred no change in the target for the federal funds rate at this meeting. in a related action, the board of governors unanimously approved a 50-basis-point decrease in the discount rate to 3-1/2 percent.  in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of boston, new york, philadelphia, cleveland, atlanta, chicago, st. louis, kansas city, and san francisco.",250,federal open market committee decided today lower target federal funds rate 50 basis points 3 percent financial markets remain considerable stress credit tightened businesses households moreover recent information indicates deepening housing contraction well softening labor markets committee expects inflation moderate coming quarters necessary continue monitor inflation developments carefully today policy action combined taken earlier help promote moderate growth time mitigate risks economic activity however downside risks growth remain committee continue assess effects financial developments economic prospects act timely manner needed address risks voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman donald l kohn randall kroszner frederic mishkin sandra pianalto charles plosser gary h stern kevin warsh voting richard w fisher preferred change target federal funds rate meeting related action board governors unanimously approved 50 basis point decrease discount rate 3 1 2 percent taking action board approved requests submitted boards directors federal reserve banks boston new york philadelphia cleveland atlanta chicago st louis kansas city san francisco,-0.2,0.3
11,2008-03-18,2008,Bernanke,"the federal open market committee decided today to lower its target for the federal funds rate 75 basis points to 2-1/4 percent. recent information indicates that the outlook for economic activity has weakened further. growth in consumer spending has slowed and labor markets have softened.  financial markets remain under considerable stress, and the tightening of credit conditions and the deepening of the housing contraction are likely to weigh on economic growth over the next few quarters. inflation has been elevated, and some indicators of inflation expectations have risen.  the committee expects inflation to moderate in coming quarters, reflecting a projected leveling-out of energy and other commodity prices and an easing of pressures on resource utilization.  still, uncertainty about the inflation outlook has increased.  it will be necessary to continue to monitor inflation developments carefully. today’s policy action, combined with those taken earlier, including measures to foster market liquidity, should help to promote moderate growth over time and to mitigate the risks to economic activity.  however, downside risks to growth remain.  the committee will act in a timely manner as needed to promote sustainable economic growth and price stability. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; donald l. kohn; randall s. kroszner; frederic s. mishkin; sandra pianalto; gary h. stern; and kevin m. warsh.  voting against were richard w. fisher and charles i. plosser, who preferred less aggressive action at this meeting. in a related action, the board of governors unanimously approved a 75-basis-point decrease in the discount rate to 2-1/2 percent.  in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of boston, new york, and san francisco.",288,federal open market committee decided today lower target federal funds rate 75 basis points 2 1 4 percent recent information indicates outlook economic activity weakened growth consumer spending slowed labor markets softened financial markets remain considerable stress tightening credit conditions deepening housing contraction likely weigh economic growth next quarters inflation elevated indicators inflation expectations risen committee expects inflation moderate coming quarters reflecting projected leveling energy commodity prices easing pressures resource utilization still uncertainty inflation outlook increased necessary continue monitor inflation developments carefully today policy action combined taken earlier including measures foster market liquidity help promote moderate growth time mitigate risks economic activity however downside risks growth remain committee act timely manner needed promote sustainable economic growth price stability voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman donald l kohn randall kroszner frederic mishkin sandra pianalto gary h stern kevin warsh voting richard w fisher charles plosser preferred less aggressive action meeting related action board governors unanimously approved 75 basis point decrease discount rate 2 1 2 percent taking action board approved requests submitted boards directors federal reserve banks boston new york san francisco,-0.556,-0.35600000000000004
12,2008-04-30,2008,Bernanke,"the federal open market committee decided today to lower its target for the federal funds rate 25 basis points to 2 percent. recent information indicates that economic activity remains weak. household and business spending has been subdued and labor markets have softened further. financial markets remain under considerable stress, and tight credit conditions and the deepening housing contraction are likely to weigh on economic growth over the next few quarters. although readings on core inflation have improved somewhat, energy and other commodity prices have increased, and some indicators of inflation expectations have risen in recent months. the committee expects inflation to moderate in coming quarters, reflecting a projected leveling-out of energy and other commodity prices and an easing of pressures on resource utilization. still, uncertainty about the inflation outlook remains high. it will be necessary to continue to monitor inflation developments carefully. the substantial easing of monetary policy to date, combined with ongoing measures to foster market liquidity, should help to promote moderate growth over time and to mitigate risks to economic activity. the committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; donald l. kohn; randall s. kroszner; frederic s. mishkin; sandra pianalto; gary h. stern; and kevin m. warsh. voting against were richard w. fisher and charles i. plosser, who preferred no change in the target for the federal funds rate at this meeting. in a related action, the board of governors unanimously approved a 25-basis-point decrease in the discount rate to 2-1/4 percent. in taking this action, the board approved the requests submitted by the boards of directors of the federal reserve banks of new york, cleveland, atlanta, and san francisco.",304,federal open market committee decided today lower target federal funds rate 25 basis points 2 percent recent information indicates economic activity remains weak household business spending subdued labor markets softened financial markets remain considerable stress tight credit conditions deepening housing contraction likely weigh economic growth next quarters although readings core inflation improved somewhat energy commodity prices increased indicators inflation expectations risen recent months committee expects inflation moderate coming quarters reflecting projected leveling energy commodity prices easing pressures resource utilization still uncertainty inflation outlook remains high necessary continue monitor inflation developments carefully substantial easing monetary policy date combined ongoing measures foster market liquidity help promote moderate growth time mitigate risks economic activity committee continue monitor economic financial developments act needed promote sustainable economic growth price stability voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman donald l kohn randall kroszner frederic mishkin sandra pianalto gary h stern kevin warsh voting richard w fisher charles plosser preferred change target federal funds rate meeting related action board governors unanimously approved 25 basis point decrease discount rate 2 1 4 percent taking action board approved requests submitted boards directors federal reserve banks new york cleveland atlanta san francisco,-0.333,0.22300000000000003
13,2008-06-25,2008,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 2 percent. recent information indicates that overall economic activity continues to expand, partly reflecting some firming in household spending.  however, labor markets have softened further and financial markets remain under considerable stress.  tight credit conditions, the ongoing housing contraction, and the rise in energy prices are likely to weigh on economic growth over the next few quarters. the committee expects inflation to moderate later this year and next year.  however, in light of the continued increases in the prices of energy and some other commodities and the elevated state of some indicators of inflation expectations, uncertainty about the inflation outlook remains high. the substantial easing of monetary policy to date, combined with ongoing measures to foster market liquidity, should help to promote moderate growth over time.  although downside risks to growth remain, they appear to have diminished somewhat, and the upside risks to inflation and inflation expectations have increased.  the committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; donald l. kohn; randall s. kroszner; frederic s. mishkin; sandra pianalto; charles i. plosser; gary h. stern; and kevin m. warsh.  voting against was richard w. fisher, who preferred an increase in the target for the federal funds rate at this meeting.",248,federal open market committee decided today keep target federal funds rate 2 percent recent information indicates overall economic activity continues expand partly reflecting firming household spending however labor markets softened financial markets remain considerable stress tight credit conditions ongoing housing contraction rise energy prices likely weigh economic growth next quarters committee expects inflation moderate later year next year however light continued increases prices energy commodities elevated state indicators inflation expectations uncertainty inflation outlook remains high substantial easing monetary policy date combined ongoing measures foster market liquidity help promote moderate growth time although downside risks growth remain appear diminished somewhat upside risks inflation inflation expectations increased committee continue monitor economic financial developments act needed promote sustainable economic growth price stability voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman donald l kohn randall kroszner frederic mishkin sandra pianalto charles plosser gary h stern kevin warsh voting richard w fisher preferred increase target federal funds rate meeting,-0.429,-0.09599999999999997
14,2008-08-05,2008,Bernanke,"the federal open market committee decided today to keep its target for the federal funds rate at 2 percent. economic activity expanded in the second quarter, partly reflecting growth in consumer spending and exports. however, labor markets have softened further and financial markets remain under considerable stress. tight credit conditions, the ongoing housing contraction, and elevated energy prices are likely to weigh on economic growth over the next few quarters. over time, the substantial easing of monetary policy, combined with ongoing measures to foster market liquidity, should help to promote moderate economic growth. inflation has been high, spurred by the earlier increases in the prices of energy and some other commodities, and some indicators of inflation expectations have been elevated. the committee expects inflation to moderate later this year and next year, but the inflation outlook remains highly uncertain. although downside risks to growth remain, the upside risks to inflation are also of significant concern to the committee. the committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability. voting for the fomc monetary policy action were: ben s. bernanke, chairman; timothy f. geithner, vice chairman; elizabeth a. duke; donald l. kohn; randall s. kroszner; frederic s. mishkin; sandra pianalto; charles i. plosser; gary h. stern; and kevin m. warsh. voting against was richard w. fisher, who preferred an increase in the target for the federal funds rate at this meeting.",243,federal open market committee decided today keep target federal funds rate 2 percent economic activity expanded second quarter partly reflecting growth consumer spending exports however labor markets softened financial markets remain considerable stress tight credit conditions ongoing housing contraction elevated energy prices likely weigh economic growth next quarters time substantial easing monetary policy combined ongoing measures foster market liquidity help promote moderate economic growth inflation high spurred earlier increases prices energy commodities indicators inflation expectations elevated committee expects inflation moderate later year next year inflation outlook remains highly uncertain although downside risks growth remain upside risks inflation also significant concern committee committee continue monitor economic financial developments act needed promote sustainable economic growth price stability voting fomc monetary policy action ben bernanke chairman timothy f geithner vice chairman elizabeth duke donald l kohn randall kroszner frederic mishkin sandra pianalto charles plosser gary h stern kevin warsh voting richard w fisher preferred increase target federal funds rate meeting,-0.667,-0.23800000000000004
