DATE,PCEPILFE
2006-12-01,91.37
2007-01-01,91.741
2007-02-01,91.939
2007-03-01,92.032
2007-04-01,92.163
2007-05-01,92.272
2007-06-01,92.424
2007-07-01,92.563
2007-08-01,92.701
2007-09-01,92.954
2007-10-01,93.196
2007-11-01,93.379
2007-12-01,93.567
2008-01-01,93.753
2008-02-01,93.844
2008-03-01,94.028
2008-04-01,94.083
2008-05-01,94.255
2008-06-01,94.471
2008-07-01,94.641
2008-08-01,94.757
2008-09-01,94.854
2008-10-01,94.719
2008-11-01,94.677
2008-12-01,94.631
2009-01-01,94.602
2009-02-01,94.677
2009-03-01,94.745
2009-04-01,94.957
2009-05-01,95.03
2009-06-01,95.151
2009-07-01,95.233
2009-08-01,95.374
2009-09-01,95.541
2009-10-01,95.893
2009-11-01,95.978
2009-12-01,96.06
2010-01-01,96.201
2010-02-01,96.285
2010-03-01,96.429
2010-04-01,96.478
2010-05-01,96.585
2010-06-01,96.632
2010-07-01,96.633
2010-08-01,96.726
2010-09-01,96.781
2010-10-01,96.928
2010-11-01,97.054
2010-12-01,97.074
2011-01-01,97.283
2011-02-01,97.453
2011-03-01,97.6
2011-04-01,97.824
2011-05-01,98.057
2011-06-01,98.164
2011-07-01,98.309
2011-08-01,98.505
2011-09-01,98.572
2011-10-01,98.619
2011-11-01,98.828
2011-12-01,98.992
2012-01-01,99.288
2012-02-01,99.426
2012-03-01,99.595
2012-04-01,99.746
2012-05-01,99.847
2012-06-01,99.95
2012-07-01,100.053
2012-08-01,100.116
2012-09-01,100.24
2012-10-01,100.482
2012-11-01,100.591
2012-12-01,100.664
2013-01-01,100.871
2013-02-01,100.992
2013-03-01,101.085
2013-04-01,101.163
2013-05-01,101.272
2013-06-01,101.438
2013-07-01,101.567
2013-08-01,101.685
2013-09-01,101.799
2013-10-01,102.015
2013-11-01,102.194
2013-12-01,102.333
2014-01-01,102.426
2014-02-01,102.489
2014-03-01,102.684
2014-04-01,102.879
2014-05-01,103.061
2014-06-01,103.18
2014-07-01,103.369
2014-08-01,103.408
2014-09-01,103.536
2014-10-01,103.629
2014-11-01,103.74
2014-12-01,103.837
2015-01-01,103.816
2015-02-01,103.92
2015-03-01,104.08
2015-04-01,104.256
2015-05-01,104.385
2015-06-01,104.511
2015-07-01,104.603
2015-08-01,104.679
2015-09-01,104.814
2015-10-01,104.829
2015-11-01,104.94
2015-12-01,105.009
2016-01-01,105.204
2016-02-01,105.369
2016-03-01,105.521
2016-04-01,105.786
2016-05-01,105.948
2016-06-01,106.077
2016-07-01,106.257
2016-08-01,106.456
2016-09-01,106.579
2016-10-01,106.737
2016-11-01,106.789
2016-12-01,106.929
2017-01-01,107.204
2017-02-01,107.357
2017-03-01,107.307
2017-04-01,107.587
2017-05-01,107.699
2017-06-01,107.876
2017-07-01,107.944
2017-08-01,108.058
2017-09-01,108.267
2017-10-01,108.546
2017-11-01,108.601
2017-12-01,108.769
2018-01-01,109.06
2018-02-01,109.273
2018-03-01,109.542
2018-04-01,109.752
2018-05-01,109.969
2018-06-01,110.106
2018-07-01,110.238
2018-08-01,110.247
2018-09-01,110.475
2018-10-01,110.641
2018-11-01,110.838
2018-12-01,111.006
2019-01-01,111.06
2019-02-01,111.096
2019-03-01,111.254
2019-04-01,111.607
2019-05-01,111.744
2019-06-01,111.997
2019-07-01,112.15
2019-08-01,112.289
2019-09-01,112.367
2019-10-01,112.54
2019-11-01,112.576
2019-12-01,112.824
2020-01-01,113.04
2020-02-01,113.215
2020-03-01,113.15
2020-04-01,112.628
2020-05-01,112.864
2020-06-01,113.265
2020-07-01,113.61
2020-08-01,113.971
2020-09-01,114.131
2020-10-01,114.137
2020-11-01,114.134
2020-12-01,114.494
2021-01-01,114.746
2021-02-01,114.899
2021-03-01,115.383
2021-04-01,116.1
2021-05-01,116.766
2021-06-01,117.327
2021-07-01,117.704
2021-08-01,118.073
2021-09-01,118.357
2021-10-01,118.915
2021-11-01,119.483
2021-12-01,120.092
2022-01-01,120.66
2022-02-01,121.005
2022-03-01,121.359
